## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4431e-01  -1.9484e+00   4.1641e-02   3.7229e-02   4.8354e+02   2.4960e+03
  2.4037e-01   2.5676e-01  -1.3726e+00   3.8475e-02   1.5642e-02   1.5729e+03   8.1410e+03
  4.3133e-01   4.6098e-01  -7.8727e-01   1.8499e-02   3.7585e-03   4.7539e+03   2.4658e+04
  7.7400e-01   8.2795e-01  -2.0133e-01   7.9180e-03   6.1685e-03   1.4773e+04   7.6855e+04
  1.3889e+00   1.4840e+00   3.8239e-01   1.1121e-02   4.3778e-03   4.6798e+04   2.4308e+05
  2.4922e+00   2.6643e+00   9.6802e-01   7.3973e-03   2.5779e-03   1.4845e+05   7.7127e+05
  4.4721e+00   4.7825e+00   1.5533e+00   7.2044e-03   3.0985e-03   4.7299e+05   2.4573e+06
  8.0249e+00   8.5878e+00   2.1388e+00   5.5475e-03   2.9656e-03   1.5086e+06   7.8376e+06
  1.4400e+01   1.5420e+01   2.7240e+00   5.7401e-03   2.9814e-03   4.8058e+06   2.4971e+07
  2.5840e+01   2.7672e+01   3.3087e+00   5.4559e-03   3.1109e-03   1.5287e+07   7.9429e+07
  4.6368e+01   4.9658e+01   3.8934e+00   5.6657e-03   2.9430e-03   4.8461e+07   2.5180e+08
  8.3204e+01   8.9082e+01   4.4777e+00   5.6673e-03   2.9273e-03   1.5263e+08   7.9301e+08
  1.4930e+02   1.5977e+02   5.0618e+00   5.8198e-03   2.7976e-03   4.7415e+08   2.4636e+09
