## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4738e-01  -1.9265e+00   1.1369e-01   3.6182e-02   6.7421e+02   3.4780e+03
  2.4037e-01   2.5761e-01  -1.3689e+00   7.2800e-02   9.6367e-03   2.9648e+03   1.5434e+04
  4.3133e-01   4.6106e-01  -7.8699e-01   1.9645e-02   4.5546e-03   9.1123e+03   4.7334e+04
  7.7400e-01   8.2738e-01  -2.0209e-01   1.2507e-02   3.7150e-03   2.8393e+04   1.4760e+05
  1.3889e+00   1.4845e+00   3.8296e-01   8.7981e-03   3.4561e-03   9.0555e+04   4.7062e+05
  2.4922e+00   2.6633e+00   9.6783e-01   6.4964e-03   3.1694e-03   2.8821e+05   1.4977e+06
  4.4721e+00   4.7832e+00   1.5536e+00   6.4505e-03   3.5370e-03   9.1486e+05   4.7529e+06
  8.0249e+00   8.5907e+00   2.1392e+00   6.0860e-03   3.1915e-03   2.9221e+06   1.5180e+07
  1.4400e+01   1.5420e+01   2.7241e+00   5.7751e-03   3.1400e-03   9.3110e+06   4.8365e+07
  2.5840e+01   2.7675e+01   3.3088e+00   5.1832e-03   3.2355e-03   2.9604e+07   1.5379e+08
  4.6368e+01   4.9664e+01   3.8935e+00   4.9201e-03   3.0235e-03   9.3867e+07   4.8772e+08
  8.3204e+01   8.9095e+01   4.4778e+00   5.0150e-03   3.0892e-03   2.9593e+08   1.5376e+09
  1.4930e+02   1.5977e+02   5.0618e+00   5.1748e-03   2.9698e-03   9.1886e+08   4.7742e+09
