## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4818e-01  -1.9212e+00   1.2820e+00   2.3938e-02   4.8928e+03   9.1580e+03
  2.4303e-01   2.6058e-01  -1.3576e+00   1.1801e+00   1.9929e-02   2.1860e+04   4.0851e+04
  4.3931e-01   4.6878e-01  -7.7042e-01   1.1262e+00   2.1378e-02   6.6926e+04   1.2500e+05
  7.9411e-01   8.4885e-01  -1.7591e-01   1.1023e+00   1.9630e-02   2.0813e+05   3.8868e+05
  1.4355e+00   1.5333e+00   4.1599e-01   1.0923e+00   2.0484e-02   6.6263e+05   1.2375e+06
  2.5948e+00   2.7698e+00   1.0075e+00   1.0896e+00   2.1399e-02   2.0227e+06   3.7775e+06
  4.6904e+00   4.9973e+00   1.5976e+00   1.0909e+00   2.1481e-02   5.8179e+06   1.0865e+07
  8.4785e+00   9.0749e+00   2.1941e+00   1.0923e+00   2.1370e-02   1.6663e+07   3.1118e+07
  1.5326e+01   1.6430e+01   2.7874e+00   1.0931e+00   2.1411e-02   5.2047e+07   9.7200e+07
  2.7704e+01   2.9689e+01   3.3789e+00   1.0930e+00   2.1254e-02   1.6267e+08   3.0379e+08
  5.0078e+01   5.3636e+01   3.9702e+00   1.0930e+00   2.0968e-02   5.0270e+08   9.3882e+08
  9.0523e+01   9.6902e+01   4.5615e+00   1.0927e+00   2.1001e-02   1.5327e+09   2.8624e+09
  1.6363e+02   1.7516e+02   5.1534e+00   1.0956e+00   2.1413e-02   4.6165e+09   8.6215e+09
