## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4812e-01  -1.9212e+00   8.0944e-02   5.2217e-03   1.4825e+02   3.7280e+03
  2.4037e-01   2.5734e-01  -1.3702e+00   2.3284e-02   1.7785e-03   6.3051e+02   1.5855e+04
  4.3133e-01   4.6143e-01  -7.8614e-01   5.0190e-03   9.0686e-04   2.0236e+03   5.0886e+04
  7.7400e-01   8.2757e-01  -2.0168e-01   2.9726e-03   3.2670e-04   6.2992e+03   1.5840e+05
  1.3889e+00   1.4837e+00   3.8250e-01   1.6058e-03   4.8971e-04   1.9989e+04   5.0265e+05
  2.4922e+00   2.6631e+00   9.6782e-01   1.0285e-03   1.9911e-04   6.3401e+04   1.5943e+06
  4.4721e+00   4.7830e+00   1.5536e+00   6.0790e-04   1.4129e-04   2.0202e+05   5.0800e+06
  8.0249e+00   8.5905e+00   2.1392e+00   4.0884e-04   1.2559e-04   6.4479e+05   1.6214e+07
  1.4400e+01   1.5422e+01   2.7242e+00   1.9404e-04   1.1777e-04   2.0546e+06   5.1666e+07
  2.5840e+01   2.7676e+01   3.3089e+00   6.3697e-05   1.5000e-04   6.5371e+06   1.6438e+08
  4.6368e+01   4.9664e+01   3.8935e+00  -4.6739e-05   1.3803e-04   2.0735e+07   5.2141e+08
  8.3204e+01   8.9092e+01   4.4778e+00  -1.0553e-04   1.1528e-04   6.5327e+07   1.6427e+09
  1.4930e+02   1.5978e+02   5.0618e+00  -3.0065e-06   8.6714e-05   2.0290e+08   5.1021e+09
