## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4458e-01  -1.9468e+00   2.4367e-01   3.8297e-02   2.0218e+02   1.6940e+03
  2.4037e-01   2.5828e-01  -1.3665e+00   1.4412e-01   6.5534e-03   7.9234e+02   6.6210e+03
  4.3133e-01   4.6139e-01  -7.8638e-01   3.1025e-02   5.1534e-03   2.5348e+03   2.1218e+04
  7.7400e-01   8.2744e-01  -2.0205e-01   1.8788e-02   3.9930e-03   7.8751e+03   6.5874e+04
  1.3889e+00   1.4843e+00   3.8272e-01   4.4116e-03   1.8619e-03   2.4887e+04   2.0820e+05
  2.4922e+00   2.6632e+00   9.6771e-01   3.8184e-03   1.8112e-03   7.8647e+04   6.5756e+05
  4.4721e+00   4.7821e+00   1.5534e+00   2.5700e-03   8.0161e-04   2.4931e+05   2.0841e+06
  8.0249e+00   8.5875e+00   2.1390e+00   2.7112e-03   4.2869e-04   7.9379e+05   6.6352e+06
  1.4400e+01   1.5419e+01   2.7243e+00   1.8603e-03   3.7121e-04   2.5278e+06   2.1130e+07
  2.5840e+01   2.7677e+01   3.3091e+00   1.5286e-03   3.6641e-04   8.0351e+06   6.7161e+07
  4.6368e+01   4.9673e+01   3.8938e+00   1.3661e-03   3.2473e-04   2.5452e+07   2.1273e+08
  8.3204e+01   8.9095e+01   4.4779e+00   1.1704e-03   3.2459e-04   8.0149e+07   6.6992e+08
  1.4930e+02   1.5979e+02   5.0619e+00   1.1280e-03   3.1782e-04   2.4883e+08   2.0798e+09
