## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4812e-01  -1.9212e+00   8.0107e-02   5.2281e-03   1.4841e+02   3.7280e+03
  2.4037e-01   2.5734e-01  -1.3702e+00   2.2942e-02   1.7600e-03   6.3121e+02   1.5856e+04
  4.3133e-01   4.6144e-01  -7.8613e-01   4.7791e-03   8.6004e-04   2.0258e+03   5.0889e+04
  7.7400e-01   8.2757e-01  -2.0170e-01   2.6130e-03   3.1067e-04   6.3049e+03   1.5838e+05
  1.3889e+00   1.4837e+00   3.8249e-01   1.3561e-03   4.7079e-04   2.0011e+04   5.0268e+05
  2.4922e+00   2.6632e+00   9.6782e-01   7.1992e-04   1.5436e-04   6.3467e+04   1.5943e+06
  4.4721e+00   4.7831e+00   1.5536e+00   4.1583e-04   1.0632e-04   2.0226e+05   5.0808e+06
  8.0249e+00   8.5906e+00   2.1392e+00   3.1999e-04   8.0310e-05   6.4542e+05   1.6213e+07
  1.4400e+01   1.5422e+01   2.7242e+00   1.9321e-04   9.1767e-05   2.0568e+06   5.1667e+07
  2.5840e+01   2.7676e+01   3.3089e+00   1.0298e-04   1.2391e-04   6.5436e+06   1.6438e+08
  4.6368e+01   4.9664e+01   3.8935e+00   2.3622e-05   1.0513e-04   2.0757e+07   5.2141e+08
  8.3204e+01   8.9092e+01   4.4778e+00  -2.9147e-05   7.6271e-05   6.5395e+07   1.6427e+09
  1.4930e+02   1.5978e+02   5.0618e+00   7.1227e-05   5.6316e-05   2.0311e+08   5.1021e+09
