## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8507e-01  -1.2676e+00   1.1471e-01   1.5235e-02   4.7968e+02   4.8010e+03
  4.7427e-01   5.0611e-01  -6.9335e-01   2.8469e-02   4.8979e-03   1.5135e+03   1.5190e+04
  8.4339e-01   9.0075e-01  -1.1677e-01   8.1875e-03   7.4085e-03   4.6017e+03   4.6082e+04
  1.4998e+00   1.5995e+00   4.5767e-01   2.8498e-03   3.3330e-03   1.4361e+04   1.4382e+05
  2.6670e+00   2.8442e+00   1.0336e+00   3.8698e-03   1.4795e-03   4.4803e+04   4.4843e+05
  4.7427e+00   5.0602e+00   1.6101e+00   3.1837e-03   8.2509e-04   1.3978e+05   1.3991e+06
  8.4339e+00   9.0059e+00   2.1867e+00   3.5455e-03   6.9450e-04   4.3825e+05   4.3870e+06
  1.4998e+01   1.6025e+01   2.7630e+00   1.8025e-03   7.4179e-04   1.3720e+06   1.3735e+07
  2.6670e+01   2.8507e+01   3.3389e+00   1.8633e-03   6.1584e-04   4.2866e+06   4.2910e+07
  4.7427e+01   5.0695e+01   3.9144e+00   1.1453e-03   6.1223e-04   1.3334e+07   1.3349e+08
  8.4339e+01   9.0109e+01   4.4895e+00   9.6992e-04   4.8753e-04   4.1190e+07   4.1237e+08
  1.4998e+02   1.6015e+02   5.0645e+00   8.2924e-04   4.4642e-04   1.2540e+08   1.2555e+09
