## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4469e-01  -1.9461e+00   2.2375e-01   3.8820e-02   2.1976e+02   2.0720e+03
  2.4037e-01   2.5849e-01  -1.3656e+00   1.3708e-01   9.7405e-03   8.6387e+02   8.1700e+03
  4.3133e-01   4.6121e-01  -7.8679e-01   3.2434e-02   4.5083e-03   2.7941e+03   2.6483e+04
  7.7400e-01   8.2773e-01  -2.0170e-01   1.6823e-02   3.5192e-03   8.6796e+03   8.2303e+04
  1.3889e+00   1.4839e+00   3.8246e-01   5.2866e-03   2.5165e-03   2.7295e+04   2.5888e+05
  2.4922e+00   2.6630e+00   9.6763e-01   3.5647e-03   1.5275e-03   8.6210e+04   8.1751e+05
  4.4721e+00   4.7808e+00   1.5532e+00   2.5147e-03   9.7445e-04   2.7316e+05   2.5904e+06
  8.0249e+00   8.5879e+00   2.1391e+00   2.6730e-03   8.3272e-04   8.7040e+05   8.2540e+06
  1.4400e+01   1.5418e+01   2.7242e+00   1.7990e-03   5.7298e-04   2.7722e+06   2.6290e+07
  2.5840e+01   2.7678e+01   3.3092e+00   1.3499e-03   4.6615e-04   8.8113e+06   8.3561e+07
  4.6368e+01   4.9671e+01   3.8937e+00   1.1361e-03   4.9922e-04   2.7907e+07   2.6465e+08
  8.3204e+01   8.9090e+01   4.4778e+00   1.0337e-03   3.5389e-04   8.7783e+07   8.3255e+08
  1.4930e+02   1.5975e+02   5.0617e+00   1.0298e-03   3.3586e-04   2.7181e+08   2.5782e+09
