## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4732e-01  -1.9269e+00   8.9579e-01   3.8546e-02   9.1301e+02   3.4770e+03
  2.4037e-01   2.5754e-01  -1.3692e+00   7.5094e-01   1.1110e-02   4.0564e+03   1.5434e+04
  4.3133e-01   4.6098e-01  -7.8717e-01   6.8585e-01   6.6069e-03   1.2430e+04   4.7308e+04
  7.7400e-01   8.2706e-01  -2.0244e-01   6.7983e-01   3.3170e-03   3.8744e+04   1.4744e+05
  1.3889e+00   1.4842e+00   3.8279e-01   6.7293e-01   3.9245e-03   1.2355e+05   4.7017e+05
  2.4922e+00   2.6628e+00   9.6769e-01   6.7027e-01   2.7201e-03   3.9322e+05   1.4964e+06
  4.4721e+00   4.7830e+00   1.5536e+00   6.7044e-01   3.2437e-03   1.2482e+06   4.7502e+06
  8.0249e+00   8.5904e+00   2.1392e+00   6.6942e-01   3.2960e-03   3.9865e+06   1.5172e+07
  1.4400e+01   1.5420e+01   2.7241e+00   6.6856e-01   3.3567e-03   1.2700e+07   4.8334e+07
  2.5840e+01   2.7675e+01   3.3089e+00   6.6831e-01   3.3018e-03   4.0386e+07   1.5370e+08
  4.6368e+01   4.9664e+01   3.8935e+00   6.6789e-01   3.2721e-03   1.2809e+08   4.8748e+08
  8.3204e+01   8.9095e+01   4.4778e+00   6.6789e-01   3.2912e-03   4.0379e+08   1.5367e+09
  1.4930e+02   1.5977e+02   5.0618e+00   6.6765e-01   3.1665e-03   1.2538e+09   4.7716e+09
