## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4539e-01  -1.9410e+00  -6.9188e-02   1.9222e-02   1.2840e+02   2.0830e+03
  2.4037e-01   2.5859e-01  -1.3652e+00  -2.2813e-02   1.0811e-02   5.2623e+02   8.1910e+03
  4.3133e-01   4.6129e-01  -7.8659e-01  -3.3947e-03   2.9209e-03   1.7126e+03   2.6542e+04
  7.7400e-01   8.2797e-01  -2.0141e-01   7.4168e-03   3.0441e-03   5.3143e+03   8.2490e+04
  1.3889e+00   1.4842e+00   3.8266e-01   4.3437e-04   2.1216e-03   1.6753e+04   2.5955e+05
  2.4922e+00   2.6634e+00   9.6775e-01  -7.0194e-04   1.5105e-03   5.2945e+04   8.1924e+05
  4.4721e+00   4.7814e+00   1.5533e+00   1.5791e-04   1.3779e-03   1.6787e+05   2.5965e+06
  8.0249e+00   8.5879e+00   2.1390e+00   6.4850e-04   1.3452e-03   5.3484e+05   8.2704e+06
  1.4400e+01   1.5419e+01   2.7242e+00   5.5613e-04   1.1451e-03   1.7037e+06   2.6343e+07
  2.5840e+01   2.7677e+01   3.3091e+00   3.9632e-04   1.1644e-03   5.4154e+06   8.3721e+07
  4.6368e+01   4.9670e+01   3.8937e+00   2.6454e-04   1.0929e-03   1.7155e+07   2.6521e+08
  8.3204e+01   8.9089e+01   4.4778e+00   1.9422e-04   9.3248e-04   5.3961e+07   8.3419e+08
  1.4930e+02   1.5976e+02   5.0617e+00   2.7665e-04   7.5741e-04   1.6714e+08   2.5836e+09
